,Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context,Example source,grammatical_categories
0," искэлэгратС в ,ынсеретни ен ежу етсарзов",йинхи,"возрасте уже не интересны, в Старгэлэкси ",ихний, ,весь класс прошлый год весь отмечал. ,Наши дети: Подростки (2004),,,Наши дети: Подростки,2004,электронная коммуникация,форум,частная жизнь,,2004,электронный текст,омонимия снята вручную,"Все в раздумьях где лучше это сделать, клоуны им же в этом возрасте уже не интересны, в Старгэлэкси ихний весь класс прошлый год весь отмечал. ",969:1769:18,inan sing masc
1,""" или хишан зи огондо яицамрофни",хинхи,"информация одного из наших или """,ихних, ,""" перебежчиков вызвали закономерное желание боссов","Игорь Лалаянц. Детектор лжи на молекулярном уровне? Завтра, завтра… послезавтра! // «Знание -- сила», 2003",Игорь Лалаянц,,"Детектор лжи на молекулярном уровне? Завтра, завтра… послезавтра!",2003,учебно-научная,статья,наука и технологии | биология,«Знание -- сила»,2003,журнал,омонимия снята вручную,"По всей видимости, несанкционированные контакты чеха, а может, и информация одного из наших или ""ихних "" перебежчиков вызвали закономерное желание боссов проверить нашего героя на детекторе лжи. ",1720:13:15,anim plur masc
2,""" -- немсензиб-храгило ,кичдевзар шан -- ртсиним",йинхи,"министр -- наш разведчик, олигарх-бизнесмен -- """,ихний, ,""" шпион. ","ЮКОС - что дальше? Ходорковский и 'кремлевская доля' // «Газета», 2003.07.07",,,ЮКОС - что дальше? Ходорковский и 'кремлевская доля',2003,публицистика,статья,политика и общественная жизнь,«Газета»,2003.07.07,газета,омонимия снята вручную,"Олигарх-министр -- наш разведчик, олигарх-бизнесмен -- ""ихний "" шпион. ",678:66:7,anim sing masc
3, иицатаулпскэ тыпо ГРФ или иинопЯ еж,хинхи,же Японии или ФРГ опыт эксплуатации ,ихних, ,машин родил такое же количество народных,"Авточтиво // «Автопилот», 2002.07.15",,,Авточтиво,2002,публицистика,обзор,"досуг, зрелища и развлечения",«Автопилот»,2002.07.15,журнал,омонимия снята вручную,"Подвиг их бессмертен, а накопленные знания поистине уникальны -- не думаем, что в той же Японии или ФРГ опыт эксплуатации ихних машин родил такое же количество народных ноу-хау. ",1394:20:19,inan plur femn
4, отсемв медйан и йовт тнемукод окьлот,огенхи,только документ твой и найдем вместо ,ихнего, ,"родного человека "". ","Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001",Олег Павлов,1970,"Карагандинские девятины, или Повесть последних дней",2001,художественная,повесть,,«Октябрь»,2001,журнал,омонимия снята вручную,"А то приедут к нам завтра Мухины, скажут, выдайте -- и с уважением, и чин по чину, -- а мы вон с Коляшей хватимся да только документ твой и найдем вместо ихнего родного человека "". ",941:896:29,anim sing masc
5," есв ов тедо ,хин у как",еенхи,"как у них, одет во все ",ихнее,: ,"жилетка какая-то, рубашка ниже колен. ","Г. Я. Бакланов. В месте светлом, в месте злачном, в месте покойном (1995)",Г. Я. Бакланов,1923,"В месте светлом, в месте злачном, в месте покойном",1995,художественная,рассказ,,Антология современной прозы. Т. 1.,2002,книга,омонимия снята вручную,"Черный, борода, как у них, одет во все ихнее: жилетка какая-то, рубашка ниже колен. ",875:255:8,inan sing femn
6," ьтсокид в ,иксеп в онтарбо летелУ",ююнхи,"Улетел обратно в пески, в дикость ",ихнюю,. ,,"Г. Я. Бакланов. В месте светлом, в месте злачном, в месте покойном (1995)",Г. Я. Бакланов,1923,"В месте светлом, в месте злачном, в месте покойном",1995,художественная,рассказ,,Антология современной прозы. Т. 1.,2002,книга,омонимия снята вручную,"Улетел обратно в пески, в дикость ихнюю. ",875:259:6,
7, отч умотоп ьтсалВ,яянхи,Власть потому что ,ихняя,. ,,Виктор Пелевин. Желтая стрела (1993),Виктор Пелевин,1962,Желтая стрела,1993,художественная,повесть,,Виктор Пелевин. Собрание сочинений в 3-х томах. Т. 1,2001,книга,омонимия снята вручную,Власть потому что ихняя. ,942:667:3,
8, у А,йенхи,А у ,ихней, ,"нечистой силы там сбор, пляски до","В ночь на Ивана-Купалу // «Трамвай», 1990",,,В ночь на Ивана-Купалу,1990,публицистика,статья,религия,«Трамвай»,1990,журнал,омонимия снята вручную,"А у ихней нечистой силы там сбор, пляски до утра. ",823:53:2,inan sing femn
9, акуаН,яянхи,Наука ,ихняя, ,"должна развиваться, видите ли, свободно... ",Даниил Гранин. Зубр (1987),Даниил Гранин,1919,Зубр,1987,художественная,повесть,,Гранин Д.А. Зубр: Повесть,1987,книга,омонимия снята вручную,"Наука ихняя должна развиваться, видите ли, свободно... ",913:3183:1,
10," ин ,хишан ин ,ясляоб ен огокин",хинхи,"никого не боялся, ни наших, ни ",ихних,. ,,Даниил Гранин. Зубр (1987),Даниил Гранин,1919,Зубр,1987,художественная,повесть,,Гранин Д.А. Зубр: Повесть,1987,книга,омонимия снята вручную,"Похоже, что Зубр и впрямь никого не боялся, ни наших, ни ихних. ",913:3805:11,
11," с ин ,"" юьтсондашолзеб "" йеовс",иминхи,"своей "" безлошадностью "", ни с ",ихними, ,титулами. ,Даниил Гранин. Зубр (1987),Даниил Гранин,1919,Зубр,1987,художественная,повесть,,Гранин Д.А. Зубр: Повесть,1987,книга,омонимия снята вручную,"Никто из них не считался с тем, что Зубр не академик, и Зубр тоже не считался ни со своей "" безлошадностью "", ни с ихними титулами. ",913:6799:24,inan plur masc
12," икшрог ,акробу яанжалв -- ылоп ,ижулсбо-йому",еинхи,"умой-обслужи, полы -- влажная уборка, горшки ",ихние,", ","прости господи, вынеси, а зарплата -- тьфу! ",И. Грекова. Перелом (1987),И. Грекова,1907,Перелом,1987,художественная,повесть,,На испытаниях,1990,книга,омонимия снята вручную,"Двадцать палат, каждого умой-обслужи, полы -- влажная уборка, горшки ихние, прости господи, вынеси, а зарплата -- тьфу! ",916:2175:9,anim sing masc
13, я жУ,ююнхи,Уж я ,ихнюю, ,породу знаю. ,И. Грекова. Перелом (1987),И. Грекова,1907,Перелом,1987,художественная,повесть,,На испытаниях,1990,книга,омонимия снята вручную,Уж я ихнюю породу знаю. ,916:2510:2,inan sing femn
14, от-релаваК,йинхи,Кавалер-то ,ихний, ,с матерью не вынес такой жизни,И. Грекова. Перелом (1987),И. Грекова,1907,Перелом,1987,художественная,повесть,,На испытаниях,1990,книга,омонимия снята вручную,"Кавалер-то ихний с матерью не вынес такой жизни, ушел, а напоследок еще мать обокрал. ",916:2682:2,anim sing femn
